UTC_mid, Number_Concentration_STP,Number_Concentration,Supersaturation
28800.0, 185, 102, 0.34
28801.0, 229, 126, 0.34
28802.0, 222, 123, 0.34
28803.0, 168, 93, 0.34
28804.0, 208, 115, 0.34
28805.0, 201, 111, 0.34
28806.0, 158, 87, 0.34
28807.0, 203, 112, 0.34
28808.0, 174, 96, 0.34
28809.0, 180, 99, 0.34
28810.0, 161, 89, 0.34
28811.0, 178, 99, 0.34
28812.0, 185, 102, 0.34
28813.0, 167, 92, 0.34
28814.0, 159, 88, 0.34
28815.0, 208, 115, 0.34
28816.0, 209, 115, 0.34
28817.0, 219, 121, 0.34
28818.0, 225, 124, 0.34
28819.0, 227, 126, 0.34
28820.0, 201, 111, 0.34
28821.0, 228, 126, 0.34
28822.0, -9999, -9999, -999.00
28823.0, -9999, -9999, -999.00
28824.0, -9999, -9999, -999.00
28825.0, -9999, -9999, -999.00
28826.0, -9999, -9999, -999.00
28827.0, -9999, -9999, -999.00
28828.0, -9999, -9999, -999.00
28829.0, -9999, -9999, -999.00
28830.0, -9999, -9999, -999.00
28831.0, -9999, -9999, -999.00
28832.0, -9999, -9999, -999.00
28833.0, -9999, -9999, -999.00
28834.0, -9999, -9999, -999.00
28835.0, -9999, -9999, -999.00
28836.0, -9999, -9999, -999.00
28837.0, -9999, -9999, -999.00
28838.0, -9999, -9999, -999.00
28839.0, -9999, -9999, -999.00
28840.0, -9999, -9999, -999.00
28841.0, -9999, -9999, -999.00
28842.0, -9999, -9999, -999.00
28843.0, -9999, -9999, -999.00
28844.0, -9999, -9999, -999.00
28845.0, -9999, -9999, -999.00
28846.0, -9999, -9999, -999.00
28847.0, -9999, -9999, -999.00
28848.0, -9999, -9999, -999.00
28849.0, -9999, -9999, -999.00
28850.0, -9999, -9999, -999.00
28851.0, -9999, -9999, -999.00
28852.0, -9999, -9999, -999.00
28853.0, -9999, -9999, -999.00
28854.0, -9999, -9999, -999.00
28855.0, -9999, -9999, -999.00
28856.0, -9999, -9999, -999.00
28857.0, -9999, -9999, -999.00
28858.0, -9999, -9999, -999.00
28859.0, -9999, -9999, -999.00
28860.0, -9999, -9999, -999.00
28861.0, -9999, -9999, -999.00
28862.0, -9999, -9999, -999.00
28863.0, -9999, -9999, -999.00
28864.0, -9999, -9999, -999.00
28865.0, -9999, -9999, -999.00
28866.0, -9999, -9999, -999.00
28867.0, -9999, -9999, -999.00
28868.0, -9999, -9999, -999.00
28869.0, -9999, -9999, -999.00
28870.0, -9999, -9999, -999.00
28871.0, -9999, -9999, -999.00
28872.0, -9999, -9999, -999.00
28873.0, -9999, -9999, -999.00
28874.0, -9999, -9999, -999.00
28875.0, -9999, -9999, -999.00
28876.0, -9999, -9999, -999.00
28877.0, -9999, -9999, -999.00
28878.0, -9999, -9999, -999.00
28879.0, -9999, -9999, -999.00
28880.0, -9999, -9999, -999.00
28881.0, -9999, -9999, -999.00
28882.0, -9999, -9999, -999.00
28883.0, -9999, -9999, -999.00
28884.0, -9999, -9999, -999.00
28885.0, -9999, -9999, -999.00
28886.0, -9999, -9999, -999.00
28887.0, -9999, -9999, -999.00
28888.0, -9999, -9999, -999.00
28889.0, -9999, -9999, -999.00
28890.0, -9999, -9999, -999.00
28891.0, -9999, -9999, -999.00
28892.0, -9999, -9999, -999.00
28893.0, -9999, -9999, -999.00
28894.0, -9999, -9999, -999.00
28895.0, -9999, -9999, -999.00
28896.0, -9999, -9999, -999.00
28897.0, -9999, -9999, -999.00
28898.0, -9999, -9999, -999.00
28899.0, -9999, -9999, -999.00
28900.0, -9999, -9999, -999.00
28901.0, -9999, -9999, -999.00
28902.0, -9999, -9999, -999.00
28903.0, -9999, -9999, -999.00
28904.0, -9999, -9999, -999.00
28905.0, -9999, -9999, -999.00
28906.0, -9999, -9999, -999.00
28907.0, -9999, -9999, -999.00
28908.0, -9999, -9999, -999.00
28909.0, -9999, -9999, -999.00
28910.0, -9999, -9999, -999.00
28911.0, -9999, -9999, -999.00
28912.0, -9999, -9999, -999.00
28913.0, -9999, -9999, -999.00
28914.0, -9999, -9999, -999.00
28915.0, -9999, -9999, -999.00
28916.0, -9999, -9999, -999.00
