Start_UTC,End_UTC,Mid_UTC,CO_ppbv,CO2_ppmv,H2O_ppmv
28787.970, 28788.917, 28788.444, -9999.00,-9999.00,-9999.00
28788.917, 28789.864, 28789.391, -9999.00,-9999.00,-9999.00
28789.864, 28790.816, 28790.340, -9999.00,-9999.00,-9999.00
28790.816, 28791.761, 28791.288, -9999.00,-9999.00,-9999.00
28791.769, 28792.717, 28792.243, -9999.00,-9999.00,-9999.00
28792.718, 28793.665, 28793.192, -9999.00,-9999.00,-9999.00
28793.665, 28794.616, 28794.141, -9999.00,-9999.00,-9999.00
28794.616, 28795.562, 28795.089, -9999.00,-9999.00,-9999.00
28795.562, 28796.509, 28796.036, -9999.00,-9999.00,-9999.00
28796.509, 28797.456, 28796.983, -9999.00,-9999.00,-9999.00
28797.467, 28798.417, 28797.942, -9999.00,-9999.00,-9999.00
28798.427, 28799.373, 28798.900, -9999.00,-9999.00,-9999.00
28799.373, 28800.320, 28799.847, -9999.00,-9999.00,-9999.00
28800.320, 28801.273, 28800.797, -9999.00,-9999.00,-9999.00
28801.273, 28802.225, 28801.749, -9999.00,-9999.00,-9999.00
28802.225, 28803.177, 28802.701, -9999.00,-9999.00,-9999.00
28803.179, 28804.125, 28803.652, -9999.00,-9999.00,-9999.00
28804.133, 28805.080, 28804.607, -9999.00,-9999.00,-9999.00
28805.080, 28806.032, 28805.556, -9999.00,-9999.00,-9999.00
28806.032, 28806.984, 28806.508, -9999.00,-9999.00,-9999.00
28806.984, 28807.930, 28807.457, -9999.00,-9999.00,-9999.00
28807.930, 28808.877, 28808.403, -9999.00,-9999.00,-9999.00
28808.886, 28809.833, 28809.359, -9999.00,-9999.00,-9999.00
28809.833, 28810.785, 28810.309, -9999.00,-9999.00,-9999.00
28810.785, 28811.731, 28811.258, -9999.00,-9999.00,-9999.00
28811.731, 28812.678, 28812.204, -9999.00,-9999.00,-9999.00
28812.678, 28813.624, 28813.151, -9999.00,-9999.00,-9999.00
28813.624, 28814.576, 28814.100, -9999.00,-9999.00,-9999.00
28814.585, 28815.531, 28815.058, -9999.00,-9999.00,-9999.00
28815.537, 28816.484, 28816.011, -9999.00,-9999.00,-9999.00
28816.484, 28817.430, 28816.957, -9999.00,-9999.00,-9999.00
28817.430, 28818.382, 28817.906, -9999.00,-9999.00,-9999.00
28818.382, 28819.327, 28818.854, -9999.00,-9999.00,-9999.00
28819.327, 28820.275, 28819.801, -9999.00,-9999.00,-9999.00
28820.277, 28821.229, 28820.753, -9999.00,-9999.00,-9999.00
28821.232, 28822.178, 28821.705, -9999.00,-9999.00,-9999.00
28822.178, 28823.123, 28822.650, -9999.00,-9999.00,-9999.00
28823.123, 28824.071, 28823.597, -9999.00,-9999.00,-9999.00
28824.071, 28825.023, 28824.547, -9999.00,-9999.00,-9999.00
28825.023, 28825.975, 28825.499, -9999.00,-9999.00,-9999.00
28825.975, 28826.920, 28826.448, -9999.00,-9999.00,-9999.00
28826.920, 28827.867, 28827.393, -9999.00,-9999.00,-9999.00
28827.867, 28828.814, 28828.341, -9999.00,-9999.00,-9999.00
28828.814, 28829.766, 28829.290, -9999.00,-9999.00,-9999.00
28829.766, 28830.711, 28830.239, -9999.00,-9999.00,-9999.00
28830.711, 28831.658, 28831.184, -9999.00,-9999.00,-9999.00
28831.668, 28832.615, 28832.142, -9999.00,-9999.00,-9999.00
28832.620, 28833.572, 28833.096, -9999.00,-9999.00,-9999.00
28833.572, 28834.517, 28834.044, -9999.00,-9999.00,-9999.00
28834.517, 28835.464, 28834.990, -9999.00,-9999.00,-9999.00
28835.464, 28836.411, 28835.938, -9999.00,-9999.00,-9999.00
28836.411, 28837.362, 28836.886, -9999.00,-9999.00,-9999.00
28837.365, 28838.311, 28837.838, -9999.00,-9999.00,-9999.00
28838.318, 28839.265, 28838.791, -9999.00,-9999.00,-9999.00
28839.265, 28840.212, 28839.739, -9999.00,-9999.00,-9999.00
28840.212, 28841.163, 28840.687, -9999.00,-9999.00,-9999.00
28841.163, 28842.109, 28841.636, -9999.00,-9999.00,-9999.00
28842.110, 28843.057, 28842.583, -9999.00,-9999.00,-9999.00
28843.066, 28844.019, 28843.543, -9999.00,-9999.00,-9999.00
28844.019, 28844.964, 28844.491, -9999.00,-9999.00,-9999.00
28844.964, 28845.910, 28845.437, -9999.00,-9999.00,-9999.00
28845.910, 28846.857, 28846.384, -9999.00,-9999.00,-9999.00
28846.857, 28847.810, 28847.334, -9999.00,-9999.00,-9999.00
28847.810, 28848.762, 28848.286, -9999.00,-9999.00,-9999.00
28848.770, 28849.714, 28849.242, -9999.00,-9999.00,-9999.00
28849.717, 28850.664, 28850.190, -9999.00,-9999.00,-9999.00
28850.664, 28851.611, 28851.138, -9999.00,-9999.00,-9999.00
28851.611, 28852.562, 28852.087, -9999.00,-9999.00,-9999.00
28852.562, 28853.508, 28853.035, -9999.00,-9999.00,-9999.00
28853.508, 28854.455, 28853.981, -9999.00,-9999.00,-9999.00
28854.465, 28855.413, 28854.939, -9999.00,-9999.00,-9999.00
28855.427, 28856.378, 28855.903, -9999.00,-9999.00,-9999.00
28856.378, 28857.324, 28856.851, -9999.00,-9999.00,-9999.00
28857.324, 28858.271, 28857.797, -9999.00,-9999.00,-9999.00
28858.271, 28859.218, 28858.745, -9999.00,-9999.00,-9999.00
28859.218, 28860.169, 28859.693, -9999.00,-9999.00,-9999.00
28860.171, 28861.117, 28860.644, -9999.00,-9999.00,-9999.00
28861.135, 28862.082, 28861.608, -9999.00,-9999.00,-9999.00
28862.082, 28863.027, 28862.555, -9999.00,-9999.00,-9999.00
28863.027, 28863.973, 28863.500, -9999.00,-9999.00,-9999.00
28863.973, 28864.919, 28864.446, -9999.00,-9999.00,-9999.00
28864.919, 28865.867, 28865.393, -9999.00,-9999.00,-9999.00
28865.887, 28866.839, 28866.363, -9999.00,-9999.00,-9999.00
28866.844, 28867.796, 28867.320, -9999.00,-9999.00,-9999.00
