Start_UTC,Latitude,Longitude,GPS_Alt,AOD0501,CO_ppbv,CO2_ppmv,Mid_UTC,Number_Concentration,rBC_massConc,ORG,CDP_LWC
28614.0,0.37704770000000004,6.7168886,3.6,2.129,206.25,406.73,28614.0,,,,0.0
28615.0,0.3768333,6.7176417,3.8,2.129,208.71,402.54,28615.0,,,,0.0
28616.0,0.3765886,6.718480099999999,4.0,0.76,208.78,400.82,28616.0,,,,0.0
28617.0,0.3764941,6.7191205,4.2,0.708,207.38,401.93,28617.0,,,,0.0
28618.0,0.37631129999999996,6.7197603,4.4,0.693,207.29500000000002,404.685,28618.0,,,,0.0
28619.0,0.37621540000000003,6.720392100000001,4.6,0.6859999999999999,208.47,408.55,28620.0,,,,0.0
28620.0,0.37604840000000006,6.7210304,4.8,0.6829999999999999,207.78,404.61,28621.0,,,,0.0
28621.0,0.3759338,6.721663499999999,11.9,0.674,208.29,405.59,28622.0,,,,0.0
28622.0,0.3757856,6.7223003,17.8,0.665,207.76,404.73,28623.0,,,,0.0
28623.0,0.3756514,6.722940400000001,22.2,0.665,211.8,409.15,28624.0,,,,0.0
28624.0,0.375442,6.723852900000001,28.0,0.662,208.18,406.86,28625.0,,,,0.0
28625.0,0.3751699,6.7249105,32.8,0.6659999999999999,207.16,407.69,28626.0,,,,0.0
28626.0,0.37505770000000005,6.7255482,34.0,0.6729999999999999,203.96,405.56,28627.0,,,,0.0
28627.0,0.3748886,6.7261801,36.9,0.6779999999999999,205.07,403.94,28627.0,,,,0.0
28628.0,0.37479409999999996,6.7268234,37.6,0.6779999999999999,202.71,400.4,28628.0,,,,0.0
28629.0,0.3746113,6.727554700000001,41.2,0.6779999999999999,204.69,402.77,28629.0,,,,0.0
28630.0,0.3744308,6.7281921,42.7,0.674,202.99,402.69,28630.0,,,,0.0
28631.0,0.3743242,6.7288304000000005,45.1,0.677,201.27,401.83,28631.0,,,,0.0
28632.0,0.3741676,6.7295297000000005,48.3,0.677,200.91,404.8,28632.0,,,,0.0
28633.0,0.3739856,6.7302003,50.2,0.677,200.39,407.92,28633.0,,,,0.0
28634.0,0.3738514,6.730889,51.3,0.677,197.72,407.19,28634.0,,,,0.0
28635.0,0.37364200000000003,6.7318923999999996,53.1,0.674,194.63,409.49,28635.0,,,,0.0
28636.0,0.37336990000000003,6.733040600000001,56.2,0.669,193.05,406.73,28636.0,,,,0.0
28637.0,0.3732577,6.7337482,60.3,0.6659999999999999,192.52,407.87,28638.0,,,,0.0
28638.0,0.3730886,6.734391499999999,61.5,0.6629999999999999,192.34,405.62,28639.0,,,,0.0
28639.0,0.3729941,6.7351234,63.7,0.66,188.52,402.29,28640.0,,,,0.0
28640.0,0.37281129999999996,6.735854700000001,63.4,0.659,189.4,404.0,28641.0,,,,0.0
28641.0,0.37271540000000003,6.7365766,68.0,0.66,188.56,406.11,28642.0,,,,0.0
28642.0,0.37254840000000006,6.737306200000001,69.3,0.665,188.29,407.2,28643.0,,,,0.0
28643.0,0.3724338,6.7380297,68.9,0.672,187.93,407.44,28644.0,,,,0.0
28644.0,0.3723428,6.7388145999999995,71.9,0.67,184.05,407.78,28645.0,,,,0.0
28645.0,0.3723,6.739589,75.3,0.67,182.95,407.72,28645.0,,,,0.0
28646.0,0.3722605,6.740671400000001,78.5,0.669,181.23,407.58,28646.0,,,,0.0
28647.0,0.3722,6.7419406,83.4,0.664,181.03,408.56,28647.0,,,,0.0
28648.0,0.3722,6.7426905,86.7,0.657,179.58,404.1,28648.0,,,,0.0
28649.0,0.3722,6.743502900000001,87.5,0.653,176.23,405.38,28649.0,,,,0.0
28650.0,0.3722,6.744326299999999,90.3,0.653,177.91,403.01,28650.0,,,,0.0
28651.0,0.3722,6.7451490000000005,92.5,0.652,179.71,406.08,28651.0,,,,0.0
28652.0,0.37228459999999997,6.7458766,92.7,0.65,178.62,408.23,28652.0,,,,0.0
28653.0,0.3723758,6.746682000000001,95.4,0.6509999999999999,183.75,408.75,28653.0,,,,0.0
28654.0,0.3724662,6.7474959000000005,95.9,0.6509999999999999,180.175,406.455,28654.0,,,,0.0
28655.0,0.37255720000000003,6.7483146,96.6,0.653,178.03,405.77,28656.0,,,,0.0
28656.0,0.3726973,6.7491377,97.7,0.653,177.29,404.62,28657.0,,,,0.0
28657.0,0.3729217,6.749999099999999,98.7,0.655,177.83,408.24,28658.0,,,,0.0
28665.0,0.37514390000000003,6.757288000000001,108.1,4.088,183.07,408.21,28665.0,,,,0.0
28666.0,0.3755107,6.7582375,110.1,4.088,180.71,405.26,28666.0,,,,0.0
28668.0,0.3764725,6.760235300000001,116.0,4.037,177.06,404.99,28668.0,,,,0.0
28669.0,0.3770582,6.7612943,120.0,4.037,178.94,406.0,28669.0,,,,0.0
28670.0,0.3776817,6.762374900000001,124.4,4.115,176.47,408.01,28670.0,,,,0.0
28671.0,0.3782514,6.763333900000001,128.0,4.115,174.83,404.81,28671.0,,,,0.0
28673.0,0.3791715,6.764755900000001,131.9,4.103,176.84,403.58,28674.0,,,,0.0
28674.0,0.3798831,6.7656988,135.2,4.103,178.07,403.93,28675.0,,,,0.0
28675.0,0.3806113,6.766657,138.5,4.115,179.93,405.92,28676.0,,,,0.0
28676.0,0.3812926,6.767533900000001,141.6,4.115,180.73,407.7,28677.0,,,,0.0
28678.0,0.3824637,6.768955900000001,146.2,4.105,179.61,408.09,28679.0,,,,0.0
28679.0,0.383291,6.7698269,148.1,4.105,178.57,405.73,28680.0,,,,0.0
28680.0,0.38413420000000004,6.7707085000000005,149.9,4.196000000000001,178.98,410.39,28681.0,,,,0.0
28681.0,0.3848958,6.7714836,151.7,4.196000000000001,177.94,406.23,28681.0,,,,0.0
28683.0,0.3860863,6.772599700000001,154.6,4.197,176.37,405.37,28683.0,,,,0.0
28684.0,0.386966,6.7733595,159.0,4.197,176.57,404.56,28684.0,,,,0.0
28685.0,0.3880051,6.7742323,165.1,4.2410000000000005,180.27,406.4,28685.0,,,,0.0
28686.0,0.3889565,6.775004300000001,170.7,4.2410000000000005,179.55,408.21,28686.0,,,,0.0
28688.0,0.3902883,6.7758922,178.8,4.252,175.69,404.6,28688.0,,,,0.0
28689.0,0.3912171,6.7764618,185.4,4.252,175.19,403.87,28689.0,,,,0.0
28690.0,0.3923771,6.777141800000001,194.0,4.282,177.05,406.17,28690.0,,,,0.0
28691.0,0.3935343,6.7778172,202.6,4.282,177.085,409.51,28691.0,,,,0.0
28693.0,0.3956795,6.7788897,217.9,4.27,175.84,408.01,28694.0,,,,0.0
28694.0,0.39669740000000003,6.7793752000000005,224.6,4.27,176.44,409.67,28695.0,,,,0.0
28696.0,0.39837740000000005,6.7800152,232.2,4.2780000000000005,173.26,405.8,28697.0,,,,0.0
28697.0,0.39957020000000004,6.780394,237.7,4.2780000000000005,172.73,405.7,28698.0,,,,0.0
28698.0,0.40089020000000003,6.780794,244.0,4.261,176.49,408.96,28699.0,,,,0.0
28699.0,0.40216690000000005,6.781156599999999,249.5,4.261,176.48,406.84,28700.0,,,,0.0
28701.0,0.404438,6.7816384,255.7,4.343999999999999,174.73,406.65,28701.0,,,,0.0
28702.0,0.4054917,6.7818380000000005,258.0,4.343999999999999,175.11,409.18,28702.0,,,,0.0
28704.0,0.407265,6.7820694,259.0,4.3260000000000005,175.68,406.6,28704.0,,,,0.0
28705.0,0.4084856,6.7821845000000005,261.9,4.3260000000000005,174.9,410.01,28705.0,,,,0.0
28706.0,0.4098266,6.7822994,265.8,4.335,176.5,409.32,28706.0,,,,0.0
28707.0,0.41112,6.7824,269.5,4.335,175.78,407.2,28707.0,,,,0.0
28709.0,0.41303999999999996,6.7824,275.1,4.319,175.04500000000002,408.6,28709.0,,,,0.0
28710.0,0.4141693,6.7823011,278.8,4.319,171.95,407.22,28711.0,,,,0.0
28715.0,0.4203237,6.7815098,300.0,4.284,172.55,403.73,28716.0,,,,0.0
28716.0,0.421263,6.781312400000001,303.9,4.284,173.26,405.16,28717.0,,,,0.0
28717.0,0.422183,6.781112400000001,307.8,4.271,172.55,404.79,28718.0,,,,0.0
28718.0,0.4233438,6.7807917,313.2,4.271,174.72,405.21,28718.0,,,,0.0
28719.0,0.4248138,6.780316099999999,320.4,4.327,174.54,408.37,28719.0,,,,0.0
28720.0,0.4262427,6.779843799999999,327.6,4.327,174.13,407.05,28720.0,,,,0.0
28722.0,0.42852650000000003,6.7789440999999995,341.3,4.2669999999999995,175.26,409.62,28722.0,,,,0.0
