Start_UTC,Latitude,Longitude,GPS_Alt,AOD0501,CO_ppbv,Mid_UTC,Number_Concentration,rBC_massConc,ORG,CDP_LWC
40008.0,-14.5744605,4.9999,4870.7,5.874,69.01,40008.0,,,,0.0
40009.0,-14.5764622,4.9999,4868.8,0.324,66.82,40009.0,,,0.09,0.0
40010.0,-14.5782239,4.9999,4867.8,0.324,67.23,40010.0,,,,0.0
40011.0,-14.579595000000001,4.9999,4867.6,0.023,65.2,40011.0,0.0,,,0.0
40012.0,-14.580960800000001,4.9999,4866.6,0.021,69.78,40012.0,0.0,,,0.0
40013.0,-14.582315300000001,4.9999,4866.5,0.02,69.38,40013.0,0.0,,,0.0
40014.0,-14.5836864,4.9999,4868.6,0.021,67.64,40014.0,0.0,,0.36,0.0
40015.0,-14.585057500000001,4.9999,4869.2,0.02,67.64500000000001,40015.0,0.0,,,0.0
40016.0,-14.5864095,4.9999,4869.2,0.021,68.12,40017.0,0.0,,,0.0
40017.0,-14.5876844,4.9999,4869.4,0.021,69.33,40018.0,0.0,,,0.0
40018.0,-14.589028299999999,4.9999,4870.1,0.021,67.9,40019.0,0.0,,0.0,0.0
40019.0,-14.5912989,4.9999,4870.8,0.021,68.35,40020.0,0.0,,,0.0
40020.0,-14.5932595,4.9999,4871.9,0.02,67.66,40021.0,0.0,,,0.0
40021.0,-14.594619699999999,4.9999,4871.5,0.02,68.76,40022.0,15.0,,,0.0
40022.0,-14.595990900000002,4.9999,4869.3,0.021,68.99,40023.0,30.0,,,0.0
40023.0,-14.5973568,4.9999,4869.1,0.02,68.52,40024.0,61.0,,-0.42,0.0
40024.0,-14.598711199999999,4.9999,4869.9,0.021,68.2,40024.0,61.0,,,0.0
40025.0,-14.6000812,4.9999,4870.6,0.021,68.28,40025.0,76.0,,,0.0
40026.0,-14.6014337,4.9999,4869.2,0.021,70.47,40026.0,90.0,,,0.0
40027.0,-14.6028039,4.9999,4871.0,0.02,69.99,40027.0,78.0,,,0.0
40028.0,-14.604096700000001,4.9999,4872.5,0.02,68.71,40028.0,71.0,,-0.09,0.0
40029.0,-14.605431099999999,4.9999,4871.4,0.021,68.89,40029.0,,,,0.0
40030.0,-14.607690700000001,4.9999,4872.0,0.021,69.32,40030.0,,,,0.0
40031.0,-14.609655400000001,4.9999,4872.2,0.02,68.42,40031.0,,,,0.0
40032.0,-14.611015599999998,4.9999,4870.9,0.02,67.75,40032.0,,,,0.0
40033.0,-14.6123802,4.9999,4868.6,0.021,68.065,40033.0,,,0.12,0.0
40034.0,-14.613757699999999,4.9999,4866.2,0.021,67.82,40035.0,,,,0.0
40051.0,-14.638492499999998,4.9999,4865.7,5.749,67.62,40051.0,,,,0.0
40052.0,-14.640315099999999,4.9999,4867.4,0.348,67.62,40053.0,,,0.0,0.0
40053.0,-14.642181299999999,4.9999,4870.4,0.348,68.63,40054.0,,,,0.0
40054.0,-14.6435473,4.9999,4872.0,0.026000000000000002,69.12,40055.0,,,,0.0
40055.0,-14.6449016,4.9999,4869.4,0.02,67.69,40056.0,,,,0.0
40056.0,-14.646272699999999,4.9999,4870.7,0.019,66.82,40057.0,,,,0.0
40057.0,-14.647643799999999,4.9999,4871.6,0.019,68.46,40058.0,,,-0.14,0.0
40058.0,-14.648995900000001,4.9999,4870.0,0.019,67.1,40059.0,,,,0.0
40059.0,-14.650364100000001,4.9999,4868.1,0.019,68.03,40060.0,,,,0.0
40060.0,-14.6517212,4.9999,4867.7,0.019,67.37,40060.0,,,,0.0
40061.0,-14.653971499999999,4.9999,4868.2,0.019,68.89,40061.0,,,,0.0
40062.0,-14.6558962,4.9999,4868.6,0.019,66.74,40062.0,,,-0.16,0.0
40063.0,-14.657206,4.9999,4869.1,0.019,69.07,40063.0,,,,0.0
