Start_UTC, Stop_UTC, Mid_UTC, NO3, SO4, NH4, ORG, Chl, mz44, mz57, mz60, HCr, OCr 
28728.0, 28732.0, 28730.0,  0.18,  0.36,  0.11,  1.50,  0.08,  0.55,  0.06, -0.02,  1.27,  0.45
28732.9, 28736.9, 28734.9,  0.10,  0.67,  0.21,  2.96,  0.05,  0.90,  0.06, -0.01,  1.59,  0.44
28737.7, 28741.7, 28739.7,  0.14,  0.42,  0.19,  4.97, -0.04,  0.99,  0.16,  0.05,  1.54,  0.38
28742.5, 28746.5, 28744.5,  0.17,  0.42,  0.18,  1.66,  0.04,  0.53,  0.01,  0.02,  1.65,  0.34
28747.3, 28751.3, 28749.3,  0.11,  0.36,  0.25,  1.17,  0.05,  0.31,  0.01,  0.05,  1.61,  0.26
28752.1, 28756.1, 28754.1,  0.14,  0.43,  0.29,  3.72,  0.05,  0.59,  0.12,  0.03,  1.83,  0.27
28756.9, 28760.9, 28758.9,  0.04,  0.44,  0.15,  4.68,  0.05,  0.63,  0.40,  0.01,  1.68,  0.25
28761.7, 28765.7, 28763.7,  0.21,  0.56,  0.65,  6.05, -0.02,  0.64,  0.47, -0.01,  1.47,  0.39
28766.4, 28770.4, 28768.4,  0.30,  0.44,  0.15,  2.96, -0.02,  0.53,  0.07,  0.02,  1.71,  0.42
28771.2, 28775.2, 28773.2,  0.21,  0.60,  0.00,  1.99,  0.05,  0.53, -0.03, -0.01,  1.60,  0.27
28775.9, 28779.9, 28777.9,  0.18,  0.51,  0.05,  1.54, -0.06,  0.44,  0.00, -0.00,  1.66,  0.34
28780.7, 28784.7, 28782.7,  0.19,  0.56,  0.36,  3.33,  0.04,  0.39,  0.10, -0.00,  1.78,  0.29
28785.6, 28789.6, 28787.6,  0.20,  0.80,  1.08,  4.21,  0.02,  0.46,  0.16,  0.03,  2.38,  0.33
28790.4, 28794.4, 28792.4,  0.15,  0.56,  1.37,  1.95, -0.02,  0.41,  0.11,  0.00,  1.58,  0.72
28795.1, 28799.1, 28797.1,  0.19,  0.61,  0.27,  2.48,  0.06,  0.88,  0.06, -0.02,  1.58,  0.42
28799.9, 28803.9, 28801.9,  0.11,  0.78,  0.30,  2.90,  0.02,  0.74,  0.09,  0.03,  1.60,  0.49
28804.7, 28808.7, 28806.7,  0.16,  0.56,  0.24,  3.10,  0.07,  0.50,  0.14,  0.03,  1.36,  0.37
28809.5, 28813.5, 28811.5,  0.15,  0.93,  0.47,  4.36,  0.12,  0.74,  0.06,  0.02,  1.74,  0.34
28814.3, 28818.3, 28816.3,  0.16,  0.53,  0.47,  4.97,  0.02,  1.09,  0.12,  0.00,  1.61,  0.42
28819.0, 28823.0, 28821.0, -0.00,  1.12,  0.68,  2.22,  0.15,  0.50,  0.23,  0.07,  2.36,  0.32
28823.8, 28827.8, 28825.8,  0.11,  1.10,  0.28,  3.06,  0.02,  0.65,  0.13,  0.03,  1.31,  0.32
28828.6, 28832.6, 28830.6,  0.04,  1.11,  0.46,  2.82,  0.01,  0.72,  0.04,  0.03,  1.32,  0.54
28833.4, 28837.4, 28835.4,  0.32,  0.93,  0.50,  2.41,  0.13,  0.77,  0.01, -0.01,  1.49,  0.55
28838.2, 28842.2, 28840.2,  0.17,  0.95,  0.27,  2.30,  0.05,  0.56,  0.03,  0.09,  1.09,  0.39
28842.9, 28846.9, 28844.9,  0.06,  0.96,  0.35,  3.16,  0.03,  0.70,  0.21,  0.04,  1.39,  0.40
28847.7, 28851.7, 28849.7,  0.12,  0.92,  0.33,  2.39,  0.02,  0.68, -0.00, -0.04,  1.51,  0.51
28852.5, 28856.5, 28854.5, -0.01,  0.86,  0.35,  2.14, -0.11,  0.29,  0.00, -0.03,  1.65,  0.27
28857.2, 28861.2, 28859.2,  0.22,  1.25,  0.50,  1.11, -0.01,  0.62,  0.08,  0.05,  1.49,  0.55
28862.0, 28866.0, 28864.0,  0.20,  1.09,  0.35,  1.34,  0.07,  0.30,  0.05, -0.01,  1.42,  0.33
28866.8, 28870.8, 28868.8,  0.05,  1.10,  0.41,  1.59,  0.07,  0.37,  0.05,  0.00,  1.47,  0.42
28871.6, 28875.6, 28873.6, -0.09,  1.00,  0.45,  1.15, -0.01,  0.50,  0.02,  0.03,  1.59,  0.28
